,tweet_id,airline_sentiment,negativereason,airline,text_clean
0,570306133677760513,0,,Virgin America,dhepburn said
1,570301130888122368,0,,Virgin America,plus added commercials experience tacky
2,570301083672813571,0,,Virgin America,not today must mean need take another trip
3,570301031407624196,1,Bad Flight,Virgin America,really aggressive blast obnoxious entertainment guests faces amp little recourse
4,570300817074462722,1,Can't Tell,Virgin America,really big bad thing
5,570300767074181121,1,Can't Tell,Virgin America,seriously would pay 30 flight seats not playing really bad thing flying va
6,570300616901320704,0,,Virgin America,yes nearly every time fly vx ear worm go away
7,570300248553349120,0,,Virgin America,really missed prime opportunity men without hats parody https co mwpg7grezp
8,570299953286942721,0,,Virgin America,virginamerica well not
9,570295459631263746,0,,Virgin America,amazing arrived hour early good
10,570294189143031808,0,,Virgin America,know suicide second leading cause death among teens 10 24
11,570289724453216256,0,,Virgin America,lt 3 pretty graphics much better minimal iconography
12,570289584061480960,0,,Virgin America,great deal already thinking 2nd trip australia amp not even gone 1st trip yet p
13,570287408438120448,0,,Virgin America,virginmedia flying fabulous seductive skies u take stress away travel http co ahlxhhkiyn
14,570285904809598977,0,,Virgin America,thanks
15,570282469121007616,1,Late Flight,Virgin America,sfo pdx schedule still mia
16,570277724385734656,0,,Virgin America,excited first cross country flight lax mco heard nothing great things virgin america 29daystogo
17,570276917301137409,1,Bad Flight,Virgin America,flew nyc sfo last week could not fully sit seat due two large gentleman either side help
18,570270684619923457,0,,Virgin America,flying
19,570267956648792064,0,,Virgin America,know would amazingly awesome bos fll please want fly
20,570265883513384960,1,Can't Tell,Virgin America,first fares may three times carriers seats available select
21,570264145116819457,0,,Virgin America,love graphic http co ut5grrwaaa
22,570259420287868928,0,,Virgin America,love hipster innovation feel good brand
23,570258822297579520,0,,Virgin America,making bos gt las non stop permanently anytime soon
24,570256553502068736,1,Customer Service Issue,Virgin America,guys messed seating reserved seating friends guys gave seat away want free internet
25,570249102404923392,1,Customer Service Issue,Virgin America,status match program applied three weeks called emailed no response
26,570239632807370753,1,Can't Tell,Virgin America,happened 2 ur vegan food options least say ur site know not able 2 eat anything next 6 hrs fail
27,570217831557677057,0,,Virgin America,miss not worry together soon
28,570207886493782019,1,Bad Flight,Virgin America,amazing not get cold air vents vx358 noair worstflightever roasted sfotobos
29,570124596180955136,0,,Virgin America,lax ewr middle seat red eye noob maneuver sendambien andchexmix
30,570114021854212096,1,Flight Booking Problems,Virgin America,hi bked cool birthday trip not add elevate no cause entered middle name flight booking problems
31,570094701371469825,0,,Virgin America,hours operation club sfo posted online current
32,570088404156698625,1,Customer Service Issue,Virgin America,help left expensive headphones flight 89 iad lax today seat 2a no one answering l amp f number lax
33,570084582780899328,1,Customer Service Issue,Virgin America,awaiting return phone call would prefer use online self service option
34,570076792993611776,0,,Virgin America,great news america could start flights hawaii end year http co r8p2zy3fe4 via pacificbiznews
35,570051991277342720,0,,Virgin America,nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co y7o0unxtqp
36,570051381534396416,0,,Virgin America,moodlighting way fly best experience ever cool calming moodlitmonday
37,570045393565691904,0,,Virgin America,freddieawards done done best airline around hands
38,570038941497192448,0,,Virgin America,book flight hawaii
39,570035876845084672,1,Customer Service Issue,Virgin America,chat support not working site http co vhp2gtdwpk
40,570033593394667521,0,,Virgin America,view downtown los angeles hollywood sign beyond rain mountains http co dw5nf0ibtr
41,570025482344898560,1,Flight Booking Problems,Virgin America,hey first time flyer next week excited hard time getting flights added elevate account help
42,570016304284901379,0,,Virgin America,plz help win bid upgrade flight 2 27 lax gt sea
43,570015408788414464,0,,Virgin America,unused ticket moved new city not fly fly expires travelhelp
44,570013523650048002,0,,Virgin America,flights leaving dallas seattle time feb 24
45,570012257549070337,0,,Virgin America,elevategold good reason rock
46,570011341483843584,0,,Virgin America,dream http co oa2drfaoq2 http co lwwdac2khx
47,570010571707256832,0,,Virgin America,wow blew mind
48,570010539499393025,0,,Virgin America,ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree
49,570009713447825408,0,,Virgin America,ladygaga carrieunderwood entertaining
50,570009035455344640,0,,Virgin America,flight 769 way supposed take 30 minutes ago website still shows time not flight thanks
51,570006886012973056,0,,Virgin America,ladygaga carrieunderwood julie andrews way though ladygaga impressive no carrieunderwood
52,570004391731847169,0,,Virgin America,wish flew atlanta soon
53,570001194900426752,0,,Virgin America,ladygaga carrieunderwood julie andrews hands
54,570000071644872704,0,,Virgin America,flights leaving dallas la february 24th
55,569996412286582784,1,Flight Booking Problems,Virgin America,hi excited 99 lga gt dal deal trying 2 book since last week amp page never loads thx
56,569996245462159361,0,,Virgin America,know need spotify stat guiltypleasures
57,569990222609412097,0,,Virgin America,ladygaga carrieunderwood lady gaga amazing
58,569990163209850881,0,,Virgin America,ladygaga carrieunderwood carrie
59,569989504431316993,0,,Virgin America,new marketing song https co f2lfulcbq7 let us know think
60,569989321698074624,0,,Virgin America,ladygaga carrieunderwood julie andrews first lady gaga wow would last night carrie meh
